mjd,mag,magerr
58216.5127083,17.1522865,0.0194937326
58217.4916319,17.1889954,0.0197272953
58217.5144329,17.1222572,0.0193085931
58218.4938542,17.0884743,0.0191064775
58218.5182986,17.0799141,0.0190562848
58242.4753704,17.238184,0.0200531706
58244.4896065,17.1179104,0.0192822218
58246.4459028,17.055645,0.0189161561
58247.4503704,17.1005802,0.0191781688
58249.4300347,17.1689339,0.0195986517
58252.4883218,17.2248001,0.0199630056
58254.4695023,17.0500298,0.0188841932
58255.4709606,17.1450233,0.0194484703
58256.4712037,17.2339191,0.0200243127
58257.4319097,17.3247299,0.020664379
58257.4741319,17.2640343,0.0202305671
58258.4518866,17.2072735,0.0198466275
58259.4483333,17.1196938,0.0192930251
58262.387581,17.0501251,0.0188847352
58263.4286806,17.1137772,0.0192572493
58266.3629167,17.2296104,0.0199952815
58267.3820602,17.1024036,0.0191890318
58268.4568056,17.0734425,0.0190186035
58269.4246644,17.1075554,0.0192198418
58270.4333681,17.0919914,0.0191272218
58271.4237384,17.1493301,0.0214475039
58271.4242014,17.1289139,0.021322716
58271.4533796,17.225853,0.0199700575
58272.4729861,17.2942886,0.0204437189
58273.4229861,17.2482224,0.0201215483
58274.4710417,17.1941071,0.0197604634
58276.4547685,17.0525131,0.0188983101
58277.4027083,17.0725288,0.0190132968
58278.4502199,17.1609478,0.0195481181
58280.3647454,17.2383327,0.020054182
58281.4534144,17.266037,0.0202444904
58282.4515046,17.1782837,0.0196583029
58283.3917245,17.108532,0.019225698
58285.4131019,17.1534824,0.0195012148
58287.4496759,17.2517357,0.0201456305
58288.4531713,17.2319908,0.0200113077
58289.4506713,17.1722641,0.0196198355
58290.3852662,17.1154022,0.0192670543
58291.4765741,17.0648117,0.0189687088
58292.4671181,17.1402588,0.0194189455
58293.4775926,17.2029915,0.0198184866
58294.4668171,17.2113514,0.0198735353
58296.3503819,17.1718044,0.0215882175
58296.3508449,17.1445026,0.0214177333
58296.3675463,17.2096539,0.0198623221
58297.4165856,17.1451721,0.0194493961
58298.4254977,17.0861816,0.0190929938
58298.4378819,17.0108738,0.020655239
58299.4109375,17.0983353,0.0191648062
58300.3987269,17.1777,0.0196545608
58301.405,17.1782951,0.0196583811
58301.4059144,17.1187515,0.0212616548
58301.4091319,17.1700554,0.0215771422
58302.3822454,17.1552582,0.0195123423
58303.3680324,17.2013855,0.0198079627
58304.3857176,17.1610966,0.0195490513
58305.3946875,17.1297264,0.0193541497
58307.3917593,17.2103443,0.0198668782
58310.4072917,17.1897278,0.0197320357
58312.4053241,17.1155968,0.0192682277
58313.3918171,17.1583443,0.019531725
58314.4259838,17.2170906,0.0199115835
58315.3616319,17.2156219,0.019901827
58316.3475231,17.2433052,0.0200879741
58318.3656829,17.1311722,0.0193630084
58320.3920949,17.1132145,0.0192538593
58322.4019676,17.3291702,0.0206970945
58323.4709838,17.2736893,0.0202979315
58324.4785185,17.2467995,0.0201118141
58325.2762037,17.1499176,0.0194789376
58326.4156366,17.0738831,0.0190211572
58327.3429514,17.013092,0.0186780989
58327.3751157,17.0502968,0.0208682083
58328.3740625,17.1237316,0.0212914813
58328.3745139,17.0987949,0.0211437717
58329.3665741,17.3164978,0.0206040815
58330.3615278,17.3542271,0.0208842792
58330.3949769,17.2194786,0.0218986105
58330.3954398,17.2462845,0.0220804438
58332.3310417,17.196022,0.0197729263
58332.3632639,17.1029625,0.0211681705
58332.3637269,17.1096001,0.0212072674
58333.3248032,17.0737724,0.0190205202
58333.3534491,17.0331802,0.020774547
58333.353912,17.0482388,0.0208568443
58334.3493171,17.0676327,0.0189849697
58334.4068634,16.9960747,0.0205777735
58334.4073148,16.9660072,0.0204244461
58335.36375,17.0495853,0.0208642762
58335.364213,16.9958611,0.020576667
58336.3482639,17.1888542,0.019726377
58336.3628009,17.115427,0.0212418325
58336.3632523,17.1270294,0.0213113371
58342.3439236,17.1105461,0.0192377996
58343.3421412,17.1269474,0.0193371624
58344.4278819,17.2577915,0.0201873295
58345.3354167,17.3010445,0.0204921458
58345.3701157,17.2386284,0.0220279656
58347.4121065,17.2521782,0.0201486684
58349.3212384,17.089817,0.0191143919
58350.37375,17.1427002,0.0194340572
58351.3631019,17.231102,0.0200053174
58352.2896644,17.2361431,0.0200393479
58352.3129282,17.1017685,0.0211611651
58353.2161921,17.2955246,0.0204525571
58353.3083796,17.1544533,0.0214792732
58353.3797222,17.2985897,0.020474514
58354.2690856,17.3060379,0.0205281395
58354.3086111,17.2191887,0.0218966752
58354.3898958,17.2863865,0.0203874595
58355.2808565,17.1755829,0.0196410157
58355.3067708,17.1000633,0.0211511869
58355.4265278,17.1690674,0.0195995029
58356.2794792,17.1239014,0.0193185937
58356.3109838,17.0398026,0.0208105706
58357.3148727,17.136673,0.0193968136
58358.2320139,17.174387,0.0196333788
58359.3015509,17.2056313,0.019835826
58359.3452199,17.1994743,0.0197954606
58360.3024884,17.2010155,0.0198055413
58361.2398032,17.271595,0.0202832669
58362.3239352,17.2321167,0.0200121514
58363.2651968,17.1063232,0.0192124583
58364.3015856,17.1284962,0.0193466246
58365.2015972,17.1583996,0.0195320714
58366.3288542,17.2594128,0.0201985333
58367.3248727,17.2463226,0.0201085545
58368.2873148,17.1809959,0.0196757037
58368.3259954,17.160656,0.0215179753
58369.1924537,17.2012596,0.0198071431
58370.2827315,17.2151833,0.0198989157
58371.3049537,17.1461697,0.0194555968
58372.309294,17.1862907,0.0197098088
58373.2834491,17.1963768,0.0197752416
58374.3245255,17.241848,0.0200780574
58375.1915972,17.225296,0.0199663267
58376.2045139,17.1647797,0.0195723157
58377.1250347,17.0607891,0.0209265333
58377.2866088,17.1585789,0.0195331965
58378.2709375,17.0906353,0.0210963339
58378.2799306,17.1657524,0.0195784718
58379.2751157,17.2364674,0.0200415421
58379.2893866,17.1243649,0.0212952979
58382.1659838,17.2171249,0.0199118033
58383.3101968,17.1919441,0.0197464041
58384.1853241,17.1223869,0.0193093754
58385.2262963,17.1336708,0.0193783417
58386.2543634,17.1861629,0.0197089855
58386.2687847,17.1796684,0.0216382984
58387.1653588,17.244894,0.0200988054
58388.2395602,17.2911606,0.0204213988
58389.241088,17.2164993,0.0199076533
58389.2879282,17.162117,0.0215271246
58390.1708565,17.2243614,0.01996007
58400.1945602,17.0823746,0.0190706737
58423.1097338,17.1891937,0.0197285768
58425.120463,17.2020054,0.0198120233
58429.0831366,16.9951553,0.0205730051
58430.1769907,17.2016449,0.0198096633
58431.1448958,17.1509552,0.0194854122
58433.0831134,17.1175842,0.0212546885
58433.1168866,17.2003899,0.0198014453
58436.1013079,17.1373215,0.0194008108
58437.2608333,17.139431,0.0194138326
58439.2179861,17.2048454,0.0198306628
58439.2184491,17.2646599,0.0202349145
58439.2291088,17.2430878,0.0200864971
58439.2385185,17.2791767,0.020336492
58439.2389815,17.3601074,0.0209288485
58441.2297338,17.2450104,0.0200995952
58443.0756713,17.0967865,0.0211320538
58456.1383102,17.1751595,0.0196383093
58457.1614931,17.1827736,0.0196871329
58471.1329514,17.1799088,0.0196687244
58472.0979282,17.1238594,0.0193183385
58474.1417708,17.1584129,0.0195321515
58475.1558102,17.2887344,0.0204041358
58482.1022917,17.1697979,0.0196041465
58575.4650579,17.122736,0.0193115007
58582.4700463,17.1276703,0.019341575
58588.4092593,17.1273766,0.0193397831
58591.4743866,17.1583195,0.0195315685
58593.3904977,17.1361542,0.0213666372
58593.4278241,17.1990623,0.0197927635
58597.4490278,17.1646538,0.0195715167
58605.4285764,17.1936188,0.0197572857
58607.3884838,17.2701645,0.0202732664
58608.4925463,17.1796265,0.0196669102
58616.4271528,17.1512909,0.0194875114
58617.4899884,17.1052971,0.0192063153
58627.4040972,17.1592579,0.0195374694
58628.4088773,17.2290115,0.0199912563
58632.4696759,17.1168785,0.0192759819
58632.4842361,17.0404243,0.0208139624
58633.4299421,17.0901394,0.0191162899
58634.4251389,17.0995064,0.0191717744
58635.4113194,17.2191353,0.0199251827
58636.4342245,17.2854614,0.0203808993
58637.4255093,17.276453,0.0203173254
58638.4693171,17.1985931,0.0197897032
58639.411794,17.1632385,0.0195625704
58640.4756366,17.131319,0.0193639081
58641.4696759,17.1172028,0.0192779433
58642.446794,17.1658173,0.0195788816
58643.4643171,17.2468433,0.0201121159
58644.4698495,17.2045097,0.0198284555
58646.4759491,17.2148209,0.0198965129
58647.3202894,17.1927834,0.0197518542
58649.2996528,17.1834106,0.0196912382
58650.3506019,17.2376137,0.0200493094
58651.4287963,17.2395096,0.0200621635
58652.4306713,17.190918,0.019739747
58653.4332523,17.063858,0.0209437329
58653.4337037,17.0933857,0.0211122744
58653.4549306,17.1562309,0.0195184462
58654.4077199,17.1276627,0.0213151556
58654.4081713,17.1120663,0.0212218687
58654.4322685,17.2012787,0.0198072679
58655.3645949,17.1420517,0.0214026812
58655.3650463,17.1186504,0.0212610494
58657.406956,17.2083473,0.0198537037
58663.4295718,17.208168,0.0198525246
58665.4315625,17.2200813,0.0199314803
58666.3481481,17.167635,0.0195904039
58667.311331,17.1607971,0.0195471644
58668.3528819,17.1265869,0.0193349663
58669.4157755,17.1643009,0.0195692834
58670.3911921,17.1839771,0.0196948871
58676.4790278,17.1389427,0.0194108132
58677.3081019,17.1381798,0.0194061026
58680.3221412,17.3178005,0.0206135921
58684.4541204,17.1443825,0.0194444954
58688.3788773,17.2505074,0.0201372057
58691.3666319,17.1112022,0.0192417409
58694.3486343,17.2671547,0.0202522669
58697.3925116,17.1321907,0.0193692502
58700.3920486,17.1636372,0.0195650943
58703.4093519,17.2303276,0.0200001076
58710.1777199,17.2234688,0.0199540965
58711.1775116,17.2359009,0.0200377125
58714.1776736,17.1480446,0.0194672644
58715.2618634,17.2319489,0.0200110283
58716.2829745,17.2607384,0.020207705
58717.2617824,17.2051773,0.0198328383
58718.2834838,17.1865273,0.0197113343
58719.2624421,17.2295494,0.0199948717
58720.2832292,17.2106228,0.0198687222
58722.2622685,17.2156677,0.0199021269
58723.2867708,17.2525597,0.0201512892
58724.2868287,17.2037277,0.0198233183
58725.2607639,17.1751251,0.0196380895
58726.2622106,17.1848984,0.0197008252
58727.2869792,17.205101,0.0198323391
58730.2624653,17.2757187,0.0203121677
58732.2611111,17.1804485,0.0196721908
58733.260706,17.1284142,0.0193461198
58734.262419,17.1492519,0.019474782
58735.2611111,17.1595573,0.0195393544
58736.2707986,17.2513599,0.0201430526
58737.2854282,17.2734547,0.0202962868
58738.1597801,17.2273598,0.0199801605
58739.1585532,17.215807,0.0199030545
58740.1597338,17.163475,0.0195640698
58741.1598727,17.117712,0.0192810241
58743.1603125,17.1890144,0.0197274201
58744.1592361,17.2703781,0.0202747546
58745.1592477,17.2998886,0.0204838458
58746.1843287,17.243269,0.0200877301
58747.1598843,17.1136417,0.0192564297
58748.1590046,17.1476727,0.0194649491
58749.1604861,17.1183815,0.0192850716
58750.1607639,17.1464539,0.0194573589
58751.1583912,17.1846771,0.0196993947
58754.1580093,17.1874676,0.0197174102
58758.166956,17.1573067,0.0195251983
58759.2021875,17.2835732,0.0203675292
58760.1594097,17.3726711,0.0210248902
58761.1583912,17.2783337,0.0203305557
58762.158125,17.1948662,0.0197653957
58763.1593866,17.1318245,0.0193670057
58770.1956134,17.1947269,0.019764496
58776.1972222,17.2831383,0.0203644522
58779.0934144,17.1906281,0.0197378676
58785.0991204,17.2174168,0.019913746
58790.1346065,17.2057648,0.0198367033
58791.0869097,17.1597881,0.019540811
58792.1440625,17.2266674,0.0199755151
58794.1099769,17.2058868,0.0198375043
58797.0983912,17.2683277,0.0202604439
58799.2294097,17.0893078,0.0191113912
58801.2351042,17.2555389,0.0201717876
58804.2318403,17.2033768,0.0198210198
58811.1190162,17.3072281,0.0205367412
58814.1335301,17.1032028,0.0191938058
58838.1021412,17.1608887,0.0195477419
58854.1147454,17.2253456,0.0199666545
58944.5153125,17.1601791,0.0195432734
58955.4462847,17.3324299,0.0207211953
58966.4711343,17.1782951,0.0196583811
58972.4297569,17.2788239,0.0203340054
58975.4439352,17.1449699,0.019448135
58977.4535417,17.1710167,0.0196118951
58985.4784954,17.2942734,0.0204436071
58986.4685069,17.269268,0.020267006
58992.4568171,17.2866707,0.0203894805
58995.4466204,17.2848015,0.0203762297
58995.4840741,17.2159843,0.0199042317
58998.4726389,17.2707539,0.0202773884
58998.482581,17.2160149,0.019904431
59001.4431134,17.2011223,0.019806236
59004.3068171,17.1971035,0.0197799746
59009.4813194,17.1341534,0.0193813089
59013.3419676,17.2590866,0.0201962739
59013.4546991,17.306488,0.0205313973
59016.4775,17.185957,0.0197076537
59019.3925694,17.1759605,0.0196434315
59022.4651389,17.3173485,0.0206102934
59025.3890046,17.1707306,0.0196100753
59026.482037,17.1848526,0.0197005253
59028.4669792,17.3218727,0.0206433963
59028.4834144,17.3286476,0.0206932332
